OTU 1	OTU 2	corr	pval	abs
DQ79370311292	KT95284011494	0.301183936	0	0.301183936
GQ44914111407	CDYM01011941163183164690	0.301186291	0	0.301186291
GQ13239711400	AY85047311278	0.301186669	0	0.301186669
GQ17550911455	JX54345611491	0.30118695	0	0.30118695
GQ17550911455	HQ71624611462	0.301187376	0	0.301187376
AB26995211487	KF84343511433	0.301204463	0	0.301204463
GQ17550911455	AJ60824411322	0.30122815	0	0.30122815
AM27825411481	DQ45595811447	0.301229695	0	0.301229695
HQ78014011449	HM18496811494	0.30123889	0	0.30123889
JX09615611404	FJ95186911490	0.301239904	0	0.301239904
HM12426011479	GQ35847511354	0.301246404	0	0.301246404
GQ86744511457	EF09656011389	0.301246594	0	0.301246594
AM27763811452	HM18496811494	0.301254216	0	0.301254216
GQ44809411372	GQ49162711358	0.301271944	0	0.301271944
JX54345611491	GQ17539111436	0.301287312	0	0.301287312
AB93485211327	AY85051511210	0.30130105	0	0.30130105
CDZQ0105168138205334	CDYK010401793051788	0.301306393	0	0.301306393
DQ79416111390	KF84290111378	0.301318933	0	0.301318933
EF40403411522	GQ44841811378	0.301330193	0	0.301330193
DQ79353011296	DQ45646511451	0.301330819	0	0.301330819
AY91633611350	JF16368811398	0.301347733	0	0.301347733
HQ81483311443	GQ87173611483	0.301352382	0	0.301352382
GQ44861211402	JX09540411393	0.301360908	0	0.301360908
AY85051511210	DQ80658811403	0.301394951	0	0.301394951
JQ51570411522	EU77260711332	0.301403699	0	0.301403699
KF84292211397	FJ97865211412	0.301405069	0	0.301405069
AB26995211487	JADE01000006184367185846	0.301408962	0	0.301408962
HM81322711345	DQ80001811436	0.301419147	0	0.301419147
DQ79373911403	JQ18852011340	0.30143429	0	0.30143429
AB05010611404	EU76701811359	0.301445161	0	0.301445161
GQ88417311469	FJ91306511309	0.301449408	0	0.301449408
AF37620111336	FCNA0100011711283	0.301465415	0	0.301465415
JF92030911340	HK55591911267	0.301472185	0	0.301472185
HQ76158711455	GQ13340211374	0.301473439	0	0.301473439
KF49452111281	FJ51300511375	0.30147887	0	0.30147887
HQ78392411435	DQ79424311396	0.301481997	0	0.301481997
GQ87173111497	DQ79464211259	0.301483785	0	0.301483785
GQ17542711430	HM18496811494	0.301492006	0	0.301492006
DQ45587011288	FJ36299611347	0.301510479	0	0.301510479
AB93485211327	DQ05741911445	0.301510561	0	0.301510561
ADCP0200000111632431164781	HQ78543611450	0.301512904	0	0.301512904
GQ86744511457	FJ94706511274	0.301522349	0	0.301522349
GQ17545811439	DQ45647411446	0.301525498	0	0.301525498
GX18240481529	EU51046611420	0.301528039	0	0.301528039
HQ78392411435	EU77159711411	0.301530087	0	0.301530087
AB62284311520	EU76487211357	0.301549828	0	0.301549828
EU77260711332	KF84217511377	0.301549881	0	0.301549881
EF02530011460	DQ05740211391	0.301556565	0	0.301556565
JQ18332411323	HQ78014011449	0.30157054	0	0.30157054
DQ45607611438	DQ45641211447	0.301576464	0	0.301576464
ABGD0200002118683380	HQ75182011441	0.301593282	0	0.301593282
GQ86752611486	HM83061311350	0.301595087	0	0.301595087
HM81322711345	CDZQ0105168138205334	0.3016014	0	0.3016014
JQ59965311483	FN66728811488	0.301602284	0	0.301602284
KF84287111416	DQ79376411391	0.301609433	0	0.301609433
HQ81526811423	FN66728811488	0.301611388	0	0.301611388
GQ17550911455	CDYK010401793051788	0.301614329	0	0.301614329
AAQL0100128751442	FN66739211495	0.30161545	0	0.30161545
DQ79353011296	GQ44825311400	0.301624441	0	0.301624441
HW06628811503	GQ87171311490	0.301637422	0	0.301637422
HM81527511352	HQ44158311521	0.301648281	0	0.301648281
AY91633611350	DQ05737511392	0.301649742	0	0.301649742
GQ44909211375	AB93485211327	0.301651263	0	0.301651263
GQ49162711358	HQ80113711447	0.301659852	0	0.301659852
AB50636411521	DQ05739711398	0.301667646	0	0.301667646
GQ17550711446	DQ45607611438	0.301677679	0	0.301677679
FJ44006711432	DQ80866911368	0.301679196	0	0.301679196
FJ36774511325	EU45947411279	0.301681683	0	0.301681683
GQ17550711446	DQ45582911451	0.30168887	0	0.30168887
HM81322711345	GQ44914111407	0.301688999	0	0.301688999
GQ17544811452	HQ78789311439	0.301697633	0	0.301697633
EU77163311413	AM40447711484	0.301716922	0	0.301716922
DQ05736511393	EU77159711411	0.301723553	0	0.301723553
HQ81526811423	GQ17539111436	0.301729887	0	0.301729887
GQ49188111349	KR06847111490	0.301735786	0	0.301735786
KM10581611391	EU77159711411	0.301742043	0	0.301742043
AY97925411338	GU30309611487	0.301758327	0	0.301758327
DQ79428011399	CDZQ0105168138205334	0.301766884	0	0.301766884
AM40645811481	AF37620111336	0.301786037	0	0.301786037
DQ05748011449	EF02523711454	0.301789059	0	0.301789059
AM40645811481	GQ17538411420	0.30179737	0	0.30179737
DQ45589611455	KF84343511433	0.301810301	0	0.301810301
DQ01535511346	HQ74820411442	0.301816391	0	0.301816391
AM27891811450	DQ45632411450	0.30181978	0	0.30181978
GU30309611487	HQ78298711439	0.301824892	0	0.301824892
DQ79357511386	GQ87171311490	0.301837111	0	0.301837111
KM10581611391	HM18588811371	0.301838767	0	0.301838767
KF84254211376	GQ15640611356	0.301842769	0	0.301842769
JQ18332411323	GQ13340211374	0.301847231	0	0.301847231
HQ68183211451	DQ45647411446	0.301853	0	0.301853
AY68439611445	FJ36774511325	0.301870947	0	0.301870947
HM53477311436	GU30304711480	0.301871013	0	0.301871013
GQ17548511455	AJ81213811313	0.301878	0	0.301878
FJ91306511309	EU77159711411	0.301882465	0	0.301882465
CDZQ0105168138205334	HQ78076411419	0.301884877	0	0.301884877
HM83031311357	FJ97861911406	0.301890488	0	0.301890488
DQ34233411517	GQ87173711494	0.301909753	0	0.301909753
JX54345611491	AB50636411521	0.301915226	0	0.301915226
GQ35847511354	DQ80658811403	0.301919941	0	0.301919941
GQ17537511452	DQ45582911451	0.301929091	0	0.301929091
JF16368811398	DQ45585311451	0.301934758	0	0.301934758
AJ81198411368	HQ80614611448	0.301941138	0	0.301941138
AF37621811334	AAQL0100128751442	0.301959925	0	0.301959925
AM18307411431	GQ44824611389	0.301961347	0	0.301961347
AM69740511465	GQ49325211363	0.301967304	0	0.301967304
GQ49161611341	DQ45604411449	0.301969399	0	0.301969399
GQ86728911454	GQ44921211396	0.302015459	0	0.302015459
AB62761011519	DQ79331511293	0.302018848	0	0.302018848
DQ05738811392	DQ05740011396	0.302022174	0	0.302022174
HQ77744111443	DQ80166411390	0.302025974	0	0.302025974
AF37621811334	DQ45607611438	0.302031616	0	0.302031616
DQ80057111393	HW06628411495	0.302042334	0	0.302042334
AM40649911455	HQ78789311439	0.302043894	0	0.302043894
HQ78789311439	DQ45582811453	0.302044578	0	0.302044578
BALC01000015511634	GQ13340211374	0.302071427	0	0.302071427
JQ18852011340	DQ45604411449	0.302075388	0	0.302075388
ADCP0200000111632431164781	DQ45641211447	0.302079395	0	0.302079395
GQ49325211363	DQ01535511346	0.302080411	0	0.302080411
AM69681211489	DQ45607611438	0.302080552	0	0.302080552
HM12426011479	HQ74654411445	0.302096208	0	0.302096208
HQ81526811423	DQ80866911368	0.30210336	0	0.30210336
EF39964611487	BABD0100048511672678	0.302108108	0	0.302108108
GQ87173111497	GQ49325211363	0.302109557	0	0.302109557
GQ44861211402	AY91629411399	0.302119949	0	0.302119949
AJ60824411322	GQ44841811378	0.30213835	0	0.30213835
DQ80069111403	GQ13235211360	0.302141053	0	0.302141053
EF40403411522	GQ44874411393	0.302142863	0	0.302142863
AF37622011331	FJ95186611493	0.302143225	0	0.302143225
FJ50693011375	AM27763811452	0.302143455	0	0.302143455
EF02530011460	AM93037211464	0.302150561	0	0.302150561
AM27891811450	GQ45119311504	0.302164539	0	0.302164539
HQ78823011452	HQ74654411445	0.302164967	0	0.302164967
EU46426111366	HM82907111346	0.302167088	0	0.302167088
CDYK010401793051788	JF16368811398	0.302175389	0	0.302175389
JN68061511455	GQ17542711430	0.302195143	0	0.302195143
AF37622411330	DQ45595811447	0.302199597	0	0.302199597
GQ13840211383	JQ19325911336	0.302200924	0	0.302200924
GQ13012211447	GQ17548511455	0.302201563	0	0.302201563
GQ49203611335	GQ13340211374	0.302202225	0	0.302202225
DQ45615311554	DQ05741111426	0.302205339	0	0.302205339
GQ87173111497	LC02877311520	0.302206585	0	0.302206585
AF37154511452	JQ80567011467	0.302217295	0	0.302217295
AB93485211327	GQ44879311388	0.302219064	0	0.302219064
AF37621811334	HQ77993711494	0.302221492	0	0.302221492
GU30309611487	KF84254211376	0.302240364	0	0.302240364
GQ86728911454	DQ79357511386	0.302270406	0	0.302270406
AF37621811334	HQ81505411440	0.302273669	0	0.302273669
HW06642411487	EU76605811354	0.302274814	0	0.302274814
DQ05741111426	KF84206311425	0.30228208	0	0.30228208
JF08949711303	GU12817511435	0.302299632	0	0.302299632
FJ95069411472	EU77163311413	0.302300536	0	0.302300536
DQ90471811469	GQ35845411364	0.302316521	0	0.302316521
GQ17539111436	DQ80866911368	0.302318456	0	0.302318456
GQ17545811439	AM40450111455	0.302318614	0	0.302318614
AY85047311278	FJ36601311355	0.302320799	0	0.302320799
FJ36904711345	DQ34233411517	0.302331384	0	0.302331384
HQ78061411484	HQ78076411419	0.302337142	0	0.302337142
GQ17544811452	HM82907111346	0.302338302	0	0.302338302
DQ45646711449	DQ05736411393	0.302340641	0	0.302340641
DQ45647411446	GU12817511435	0.302344287	0	0.302344287
DQ45643411440	DQ45586711453	0.302355744	0	0.302355744
HW06645311493	EU46437211389	0.302360034	0	0.302360034
HM81527511352	AB18570111523	0.30237179	0	0.30237179
GQ87173711494	KF84261511391	0.302385593	0	0.302385593
HQ78543611450	GU30309611487	0.302385888	0	0.302385888
CP00779946451974646665	HG79845111400	0.302398198	0	0.302398198
HQ78014011449	JADE01000006184367185846	0.302404489	0	0.302404489
DQ45587611442	AJ81198411368	0.302422312	0	0.302422312
HQ71624611462	GQ17541411431	0.302432394	0	0.302432394
GQ13012211447	GQ45118711533	0.302435508	0	0.302435508
EU77260711332	KF46475811245	0.302438831	0	0.302438831
AF37173911444	EF02523711454	0.302443107	0	0.302443107
JQ18852011340	JF92033911383	0.302443845	0	0.302443845
AB50636411521	AF37622611329	0.302444805	0	0.302444805
GQ17550711446	FLKC010000261361601	0.302450163	0	0.302450163
AY97925411338	DQ45587011288	0.302452197	0	0.302452197
ABGD0200002118683380	DQ07152111496	0.302452522	0	0.302452522
HQ81483311443	GQ13375111367	0.302454844	0	0.302454844
AY97710111346	GQ17549111448	0.302471049	0	0.302471049
