OTU 1	OTU 2	corr	pval
HQ80431011461	DQ45582411440	0.423821529285	0.0
HQ80431011461	DQ45615511438	0.413536705148	0.0
HQ80431011461	GQ17539111436	0.479276142162	0.0
HQ80431011461	DQ05741311447	0.348553143821	0.0
KF84331011418	DQ79350611384	-0.260725974841	0.0
KF84331011418	KF84206311425	-0.541560856342	0.0
KF84331011418	AF37622711338	0.261274731296	0.0
KF84331011418	GQ17551511424	0.298247657902	0.0
KF84331011418	AB61613411495	0.271033207498	0.0
KF84331011418	JN62021211429	-0.302425759249	0.0
KF84331011418	GQ49147811372	0.450380867223	0.0
KF84331011418	HQ79430911447	0.396882912781	0.0
KF84331011418	AY98530011345	0.335507501248	0.0
KF84331011418	EU45549311432	-0.251109251203	0.0
KF84331011418	GQ26787611424	-0.317516417399	0.0
KF84331011418	KC56110911508	-0.421038570658	0.0
KF84331011418	EU76701811359	0.386470804661	0.0
KF84331011418	DQ45638611446	-0.281230622085	0.0
KF84331011418	JQ47333711437	0.250158823148	0.0
KF84331011418	DQ45582411440	0.324164151178	0.0
KF84331011418	DQ45615511438	0.381596376403	0.0
KF84331011418	GQ17539111436	0.394330211921	0.0
KF84331011418	DQ05741311447	0.277520007916	0.0
KF84220311417	HQ76314311435	0.323753707937	0.0
KF84220311417	KF84213511408	0.429278241538	0.0
KF84220311417	GQ44834811394	-0.270756466024	0.0
KF84220311417	GQ13574111431	0.305159404472	0.0
KF84220311417	GQ49147811372	0.481032923224	0.0
KF84220311417	HQ79430911447	0.464942906732	0.0
KF84220311417	GQ44892911311	0.314097272746	0.0
KF84220311417	GQ07075411388	0.420730297631	0.0
KF84220311417	GQ23143611471	0.306141187509	0.0
KF84220311417	EU76701811359	0.499476423427	0.0
KF84220311417	DQ45638611446	0.254618139388	0.0
KF84220311417	EF09737311429	0.29021991994	0.0
KF84220311417	FJ36526211373	0.264156432096	0.0
HQ76314311435	GQ49147811372	0.433038587579	0.0
HQ76314311435	HQ79430911447	0.414983175335	0.0
HQ76314311435	EU76701811359	0.388059235696	0.0
KF84213511408	JQ24809511513	-0.309685563756	0.0
KF84213511408	EU66360211492	0.391862043627	0.0
KF84213511408	JQ24811411510	0.300336657975	0.0
KF84213511408	GQ07075411388	-0.27476440605	0.0
DQ79350611384	AB61613411495	-0.272178492053	0.0
DQ79350611384	DQ45634211453	0.292939639017	0.0
DQ79350611384	GQ44805211379	0.299395518193	0.0
DQ79350611384	DQ45638611446	0.295789952731	0.0
KF84206311425	AB61613411495	-0.254805238926	0.0
KF84206311425	JN62021211429	0.263342456564	0.0
KF84206311425	GQ49147811372	-0.328623512575	0.0
KF84206311425	HQ79430911447	-0.292396149819	0.0
KF84206311425	AY98530011345	-0.250451220787	0.0
KF84206311425	KC56110911508	0.31327870173	0.0
KF84206311425	GQ44824611389	0.276571192915	0.0
KF84206311425	EU76701811359	-0.261597135143	0.0
KF84206311425	JQ47333711437	-0.250646044379	0.0
KF84206311425	DQ45582411440	-0.256661828167	0.0
KF84206311425	DQ45615511438	-0.319584775292	0.0
KF84206311425	GQ17539111436	-0.319083440051	0.0
EU45158011414	GQ13574111431	0.379224840402	0.0
EU45158011414	EU45364311432	0.309840466682	0.0
EU45158011414	GQ26787611424	0.343643732329	0.0
EU45158011414	GQ07075411388	0.305153978496	0.0
EU45158011414	DQ05742911489	0.326578616837	0.0
AF37622711338	DQ45584511443	0.29110453184	0.0
AF37622711338	AB61613411495	0.29669009359	0.0
AF37622711338	GQ49147811372	0.397308911918	0.0
AF37622711338	HQ79430911447	0.345716488968	0.0
AF37622711338	GQ07075411388	0.326240755154	0.0
AF37622711338	KC56110911508	-0.350978839221	0.0
AF37622711338	EU76701811359	0.351020213707	0.0
AF37622711338	DQ45582411440	0.411432877206	0.0
AF37622711338	DQ45615511438	0.452000340746	0.0
AF37622711338	GQ17539111436	0.501531236726	0.0
AF37622711338	DQ05741311447	0.386739219437	0.0
